EmpID,Name,Dept,Salary,JoiningDate,PerformanceScore
284,David,HR,43503.14,2021-07-01,2.0
285,Bob III,Marketing,80741.65,,4.0
286,Bob,,57788.21,2018-03-12,1.0
287,David Sr.,IT,80182.04,invalid_date,5.0
288,Bob,IT,118969.47,2018-03-12,1.0
289,Eve Sr.,HR,60169.76,2018-03-12,5.0
290,Frank Sr.,,101882.0,2019-05-23,5.0
291,David,Sales,52587.56,2020-01-15,1.0
292,Grace Jr.,Marketing,94547.84,,2.0
293,David Sr.,IT,79499.55,2018-03-12,3.0
294,David III,,84089.01,2021-07-01,
295,Grace,HR,114100.6,,4.0
296,Grace III,HR,55829.23,invalid_date,2.0
297,Frank Jr.,HR,102888.11,2018-03-12,5.0
298,Eve,Finance,54542.63,2021-07-01,10.0
299,Frank,Finance,94179.29,2018-03-12,10.0
300,David,IT,48014.86,2020-01-15,5.0
301,David Jr.,Finance,,2020-01-15,4.0
302,Charlie Sr.,,47743.03,,4.0
303,David Jr.,HR,82281.26,2019-05-23,3.0
304,David,Marketing,58517.73,2019-05-23,
305,Bob Jr.,IT,114746.39,2021-07-01,1.0
306,Bob Jr.,Finance,41834.11,,10.0
307,Eve Jr.,HR,82254.97,invalid_date,10.0
308,Frank,HR,86470.1,invalid_date,10.0
309,David III,Marketing,112505.15,2019-05-23,10.0
310,Charlie Sr.,HR,31205.53,2019-05-23,4.0
311,Charlie,Finance,,2018-03-12,2.0
312,Bob III,IT,107920.99,,10.0
313,Frank III,Finance,45356.25,2020-01-15,
314,David Sr.,IT,119436.56,invalid_date,4.0
315,Eve,Marketing,60030.69,2019-05-23,3.0
316,Bob III,IT,,,5.0
317,Eve III,Finance,,,2.0
318,Bob Sr.,HR,104761.66,2018-03-12,2.0
319,Alice Jr.,,73606.34,2021-07-01,10.0
320,David Sr.,Finance,108047.84,2021-07-01,1.0
321,David,HR,73793.92,,2.0
322,Charlie Jr.,Finance,108758.81,2021-07-01,10.0
323,Eve Jr.,,,2021-07-01,3.0
324,Charlie Sr.,IT,34370.26,invalid_date,1.0
325,Charlie,Finance,40310.26,invalid_date,3.0
326,Frank,IT,98745.46,2021-07-01,10.0
327,Frank III,Finance,105717.51,2020-01-15,5.0
328,Alice Jr.,,75318.63,invalid_date,3.0
329,Frank Jr.,Marketing,37623.58,invalid_date,3.0
330,Frank Sr.,Sales,71525.96,2020-01-15,2.0
331,Alice III,Sales,115669.38,2018-03-12,10.0
332,Alice Sr.,HR,91543.87,2019-05-23,1.0
333,Frank,IT,71312.96,invalid_date,4.0
334,Alice,Finance,107799.77,2021-07-01,4.0
335,Charlie,IT,77430.96,,3.0
336,Charlie,IT,,,1.0
337,Bob III,Sales,85773.59,2018-03-12,10.0
338,Bob Sr.,Marketing,56034.66,2021-07-01,1.0
339,Bob Jr.,IT,83710.36,2018-03-12,2.0
340,David,,66004.81,,2.0
341,David Jr.,IT,107807.79,2018-03-12,3.0
342,Grace,Marketing,76251.13,,
343,Frank,Finance,103183.88,2021-07-01,5.0
344,David III,IT,70440.68,2018-03-12,2.0
345,Grace,Marketing,94387.89,2019-05-23,1.0
346,Frank,HR,116141.85,,3.0
347,Bob,HR,118969.87,invalid_date,5.0
348,Grace III,IT,78334.19,2021-07-01,4.0
349,Grace III,Marketing,113547.7,invalid_date,1.0
350,David,,51392.79,invalid_date,10.0
351,Alice III,Finance,68645.2,2019-05-23,1.0
352,Grace,IT,112956.55,2018-03-12,10.0
353,David Sr.,Finance,72523.68,2019-05-23,
354,Frank III,,114801.99,invalid_date,3.0
355,Grace Sr.,,93468.9,,2.0
356,David,IT,,2018-03-12,3.0
357,Bob Sr.,Marketing,47491.69,2021-07-01,4.0
358,David,Marketing,67916.96,2019-05-23,2.0
359,Alice,Finance,61318.33,2021-07-01,4.0
360,Grace,Finance,93935.6,invalid_date,3.0
361,Bob,Marketing,40927.04,2019-05-23,5.0
362,Frank,Sales,37692.75,2019-05-23,
363,Eve Jr.,Finance,118850.74,invalid_date,5.0
364,Frank Sr.,Marketing,104132.51,2019-05-23,
365,Bob Sr.,Marketing,30917.93,2019-05-23,2.0
366,Alice III,IT,110131.92,2021-07-01,4.0
367,Eve,IT,69509.17,invalid_date,10.0
368,David Sr.,HR,79267.64,2021-07-01,
369,Frank III,,115251.05,2021-07-01,
370,David Sr.,Marketing,58257.76,2021-07-01,3.0
371,Charlie Jr.,Finance,,invalid_date,
372,Frank III,IT,68826.96,invalid_date,4.0
373,Frank III,,88792.47,2021-07-01,
374,Charlie,,111287.3,invalid_date,1.0
375,Bob Jr.,HR,48115.36,invalid_date,3.0
376,Bob,,65416.82,2021-07-01,3.0
377,Grace,Finance,70844.21,2018-03-12,10.0
378,David,HR,78839.86,2019-05-23,10.0
379,Grace Jr.,Finance,91719.63,2018-03-12,1.0
380,Grace,Sales,63237.86,2019-05-23,10.0
381,David,,,2018-03-12,1.0
382,Grace,HR,97686.11,2020-01-15,5.0
383,Grace Sr.,,52687.83,invalid_date,3.0
384,Charlie,IT,82150.41,2019-05-23,
385,Grace,Finance,101132.89,2020-01-15,10.0
386,Alice,Marketing,94723.37,invalid_date,10.0
387,Charlie Jr.,Sales,93807.54,2021-07-01,3.0
388,Grace,Sales,41125.8,,2.0
389,Bob,,63242.28,invalid_date,3.0
390,Grace,IT,45233.31,2021-07-01,
391,Charlie Jr.,Marketing,31158.9,2021-07-01,4.0
392,David,HR,34433.0,2018-03-12,1.0
393,Grace Sr.,,119499.6,2020-01-15,2.0
394,Alice III,,119040.36,2021-07-01,2.0
395,Alice Sr.,Sales,61715.45,2021-07-01,1.0
396,David Jr.,Marketing,104610.29,2019-05-23,2.0
397,Charlie III,HR,49495.07,2018-03-12,3.0
398,Eve III,IT,46681.35,2021-07-01,
399,Charlie Sr.,Marketing,30100.71,2020-01-15,10.0
400,Alice Jr.,Sales,100220.37,invalid_date,2.0
401,Grace III,HR,86955.7,,4.0
402,Bob III,Finance,32327.55,2018-03-12,10.0
403,Alice,Sales,67500.25,invalid_date,4.0
404,Eve,IT,63859.71,2021-07-01,1.0
405,Charlie III,HR,32126.21,2019-05-23,
406,David,IT,114403.99,2020-01-15,10.0
407,David Jr.,Marketing,37628.35,2018-03-12,10.0
408,David III,Sales,69526.79,2018-03-12,3.0
409,Charlie,Marketing,,2021-07-01,
410,Eve,,102685.79,2018-03-12,1.0
411,Eve Sr.,HR,98522.77,2020-01-15,
412,Charlie,,106245.87,2020-01-15,2.0
413,Eve,Finance,89504.77,2020-01-15,
414,Eve Jr.,HR,63859.77,,2.0
415,Alice Sr.,HR,30699.81,invalid_date,
416,Frank Jr.,,60976.97,invalid_date,5.0
417,Eve,Marketing,103809.8,2019-05-23,3.0
418,Bob,Marketing,117787.72,,
419,Bob III,HR,112642.94,2018-03-12,5.0
420,Charlie III,HR,52481.35,2020-01-15,10.0
421,Charlie,,83348.48,2018-03-12,10.0
422,David Sr.,Finance,83945.81,,2.0
423,Eve,,56455.31,2020-01-15,2.0
424,Alice,,103674.66,,10.0
425,Bob III,HR,38340.3,,10.0
426,Alice,IT,108390.06,2018-03-12,1.0
427,Alice,Marketing,32611.57,2021-07-01,1.0
428,Frank,IT,92278.57,2018-03-12,2.0
429,Eve,Finance,76348.52,invalid_date,4.0
430,David Sr.,Marketing,,2018-03-12,10.0
431,Charlie III,HR,,2021-07-01,10.0
432,Alice III,Marketing,100265.71,2020-01-15,10.0
433,Eve,Marketing,98698.89,,1.0
434,David Jr.,Sales,119558.6,2019-05-23,10.0
435,Bob Jr.,Finance,106031.86,invalid_date,5.0
436,Bob III,Finance,112268.9,invalid_date,
437,David Sr.,HR,80147.08,2020-01-15,
438,Eve,Marketing,42169.51,2019-05-23,10.0
439,Eve Sr.,HR,99407.45,2021-07-01,5.0
440,Grace Sr.,HR,106930.16,2021-07-01,3.0
441,Eve III,Sales,79848.29,2018-03-12,3.0
442,Bob III,Marketing,30241.87,,10.0
443,Frank,Finance,39261.62,2018-03-12,5.0
444,David III,HR,50226.33,2020-01-15,5.0
445,Eve Sr.,IT,114475.06,2021-07-01,
446,Grace III,Finance,,2021-07-01,3.0
447,Frank Jr.,HR,107794.43,2019-05-23,5.0
448,Alice III,Marketing,61205.64,2018-03-12,1.0
449,Eve Jr.,IT,115185.17,2020-01-15,4.0
450,Alice Sr.,Marketing,,2020-01-15,5.0
451,Grace III,Marketing,110371.62,invalid_date,4.0
452,Bob,Sales,117402.49,2020-01-15,4.0
453,Eve,,104179.26,2019-05-23,3.0
454,Charlie,HR,54593.19,invalid_date,1.0
455,Eve,IT,117207.57,2020-01-15,10.0
456,Alice Jr.,HR,33999.66,2018-03-12,2.0
457,Eve Sr.,Sales,43362.3,2019-05-23,3.0
458,Charlie,HR,104299.89,2018-03-12,10.0
459,David,Finance,89702.61,2019-05-23,
460,Eve III,HR,117592.71,,10.0
461,Charlie,,94747.32,invalid_date,
462,David Jr.,Marketing,117592.86,,4.0
463,Bob,Sales,75928.57,2020-01-15,1.0
464,Frank Jr.,HR,92923.65,2021-07-01,10.0
465,Grace III,Finance,92371.52,2019-05-23,1.0
466,Frank Sr.,Finance,79919.81,invalid_date,2.0
467,Charlie,Finance,115718.69,2021-07-01,1.0
468,Alice Jr.,Sales,53925.68,,5.0
469,Alice III,Marketing,82377.81,2020-01-15,4.0
470,Eve III,HR,53905.89,2021-07-01,
471,Charlie III,,51715.39,2018-03-12,5.0
472,Eve Jr.,IT,40226.64,2020-01-15,10.0
473,Frank Sr.,HR,113062.19,2018-03-12,1.0
474,Charlie Jr.,IT,105842.34,2020-01-15,4.0
475,Frank,Finance,,invalid_date,2.0
476,Frank Jr.,IT,37186.54,2019-05-23,4.0
477,David,Finance,114619.95,2019-05-23,1.0
478,Alice,HR,77917.03,2020-01-15,10.0
479,Grace Jr.,Marketing,78973.61,2020-01-15,1.0
480,Frank,Sales,87631.93,2018-03-12,10.0
481,Charlie Jr.,,109744.85,2019-05-23,5.0
482,Eve,Sales,104935.07,2021-07-01,4.0
483,Grace III,IT,114653.18,2020-01-15,10.0
484,Charlie Sr.,HR,31244.91,,4.0
485,David,HR,50246.18,2018-03-12,5.0
486,Bob,,37304.91,2019-05-23,4.0
487,Charlie Jr.,Sales,35508.77,2020-01-15,4.0
488,Alice,Finance,69403.5,invalid_date,
489,Alice,IT,89725.87,2020-01-15,5.0
490,David III,HR,,2018-03-12,5.0
491,Frank III,Sales,,invalid_date,1.0
492,Charlie,Finance,100583.18,invalid_date,4.0
493,Grace,IT,109840.01,invalid_date,1.0
494,Charlie Sr.,Finance,104073.93,invalid_date,10.0
495,Eve,HR,65849.34,2020-01-15,2.0
496,Charlie Jr.,IT,31368.5,2018-03-12,5.0
497,Bob III,Sales,50115.67,invalid_date,4.0
498,Charlie III,IT,104351.97,2021-07-01,
499,Alice Sr.,IT,64989.69,2019-05-23,5.0
500,David,Marketing,96745.68,2018-03-12,3.0
501,Eve III,IT,98236.84,invalid_date,10.0
502,Grace,Finance,113003.75,2020-01-15,5.0
503,Charlie Sr.,Sales,91285.26,invalid_date,4.0
504,Eve Jr.,HR,56681.34,2019-05-23,3.0
505,Bob,Marketing,31209.08,,2.0
506,David,Marketing,111312.23,2021-07-01,1.0
507,Frank,,59744.98,2021-07-01,1.0
508,Eve Jr.,Marketing,45620.81,invalid_date,5.0
509,David Sr.,Marketing,116766.87,,4.0
510,Grace III,Finance,96132.11,,5.0
511,Eve III,Marketing,67978.49,,2.0
512,David Jr.,Sales,40326.79,2020-01-15,1.0
513,Frank III,IT,44579.25,2019-05-23,5.0
514,David Jr.,,102677.3,2020-01-15,
515,Alice,HR,43021.63,invalid_date,3.0
516,Alice Sr.,HR,91522.26,2019-05-23,
517,Alice Sr.,Sales,43717.57,2021-07-01,3.0
518,Eve,,78586.79,,3.0
519,Frank,IT,48262.86,2020-01-15,
520,David III,Finance,80196.1,2019-05-23,4.0
521,Grace III,,88684.01,2018-03-12,3.0
522,Eve Jr.,Sales,67211.42,2021-07-01,1.0
523,Frank,Marketing,33387.5,2019-05-23,3.0
524,Eve Sr.,HR,58782.52,2020-01-15,10.0
525,Bob,IT,111408.11,2020-01-15,2.0
526,Frank,IT,64018.23,invalid_date,2.0
527,Bob Jr.,Sales,40715.0,2021-07-01,2.0
528,Eve Sr.,Finance,34711.62,2021-07-01,4.0
529,Alice Jr.,HR,44634.93,,3.0
530,Grace III,Sales,68631.95,,4.0
531,Eve III,IT,107049.72,2019-05-23,4.0
532,Grace,IT,94312.1,2020-01-15,4.0
533,Alice,Finance,69397.13,2021-07-01,4.0
534,Eve,Sales,108659.01,2018-03-12,4.0
535,Charlie,IT,60226.5,invalid_date,
536,Bob III,Marketing,41951.05,2019-05-23,2.0
537,Grace Jr.,IT,34217.88,2019-05-23,3.0
538,Frank Sr.,Marketing,32319.88,2020-01-15,5.0
539,Charlie III,Sales,71191.16,2021-07-01,1.0
540,David,Marketing,,2020-01-15,1.0
541,David Jr.,IT,75946.73,2020-01-15,10.0
542,Charlie III,Sales,73394.58,2018-03-12,4.0
543,Charlie,HR,53312.57,,4.0
544,Alice Jr.,Sales,93295.48,2018-03-12,4.0
545,Alice Sr.,,59810.6,2019-05-23,2.0
546,Eve,HR,51571.85,2018-03-12,5.0
547,Charlie III,IT,42919.6,invalid_date,5.0
548,David,Finance,77402.24,2019-05-23,5.0
549,Bob III,Marketing,84161.64,invalid_date,
550,Alice III,Finance,58748.59,2018-03-12,
551,David III,,65161.81,,1.0
552,Bob,Marketing,103146.73,2019-05-23,4.0
553,Eve Jr.,Marketing,50993.99,2019-05-23,
554,Charlie Sr.,Sales,61131.25,,3.0
555,Bob Sr.,,42319.7,,5.0
